stadium_id,name,lat,lon
1,Estadio Benito Villamarín,-5.981611,37.356403
2,Joaquim Portugal Stadium,-44.243408,-21.127528
3,Nou Palau Blaugrana,2.118333333,41.379722222
4,Mestalla Stadium,-0.358333,39.474722
5,Estadi Mallorca Son Moix,2.63,39.59
6,Ciudad Deportiva José Ramón Cisneros Palacios,-5.94778,37.3528
7,Estadi de Sarrià,2.133333333,41.393055555
8,Ciudad Deportiva Villarreal CF,-0.11501,39.94046
9,Gran Canaria Stadium,-15.456667,28.1
10,Abanca Balaídos Stadium,-8.740328,42.211861
11,Estadio Coliseum,-3.714722,40.325556
12,Mendizorrotza Stadium,-2.688044,42.837111
13,Montilivi Stadium,2.828611,41.961389
14,Estadio Municipal de Butarque,-3.7607,40.3404
15,Estadio Nuevo José Zorrilla,-4.761111,41.644444
16,Santiago Bernabéu Stadium,-3.68835,40.45306
17,El Sadar Stadium,-1.636944,42.796667
18,Anoeta Stadium,-1.973617,43.301378
19,Campo de Fútbol de Vallecas,-3.658961,40.391944
20,Metropolitano Stadium,-3.599444,40.436111
